CATEGORIA;LINHA;MODELO;TIPO;COD;DESCRITIVO; TABELA A ; TABELA B ; TABELA C ; Variação 
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050014;KIT TITANIUM CANOLA - 4 POLIFLOW+ESC.FLEX; 123.08 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010043;POLIFLOW CANOLA; 21.57 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050019;KIT SUBCONJUNTO ESTRELA FLEX CANOLA; 57.51 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010082;POLIFLOW AMENDOIM; 12.57 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050030;KIT SUB. CONJ.ESCOVAFLEX AMENDOIM; 17.75 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010266;POLIFLOW GIRASSOL; 9.23 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010268;ANTIPULO GIRASSOL; 4.62 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;-;KIT SUBCONJ ESCOVAFLEX GIRASSOL (COMUM); 23.08 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010013;LIMITADOR PESO; 55.59 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010370;LIMITADOR PESO AMENDOIM; 55.59 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050006;KIT SUBCONJUNTO TRAVA BASE; 33.06 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050010;KIT VISOR; 18.56 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2020004;KIT DE MONTAGEM PARA CAIXA DE SEMENTES; 18.56 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050011;KIT PROTEÇÃO DO VISOR; 111.14 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050001;KIT BASE TITANIUM; 745.34 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050002;KIT PESCOÇO; 375.99 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050004;KIT ADAPTADOR DE CENTRO; 195.82 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050005;KIT POSTIÇO ADAPTADOR DE CENTRO; 99.38 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010287;CONDUTOR DE SEMENTES PC1 - G3 BOTINHA; 15.28 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010175;CONDUTOR DE SEMENTES TITANIUM  KH1; 24.31 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010327;CONDUTOR DE SEMENTES TITANIUM PC1-G3; 16.56 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010326;CONDUTOR DE SEMENTES TITANIUM SM1; 16.56 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010170;CONDUTOR DE SEMENTES TITANIUM J1; 22.19 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010124;CONDUTOR DE SEMENTES TITANIUM BD1/TT1; 16.80 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010114;COROA TITANIUM BD1/TT1 (PARA MOD ADAP BARQUINHA); 41.90 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010117;PARAFUSO DA COROA TITANIUM BD1/TT1 USINADO; 11.64 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010171;PINHAO 10 DENTES BD1/TT1; 9.31 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010038;BUCHA DE CELERON J1 19X28X35MM; 9.26 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;1050059;KIT BUCHA DE CELERON VT1; 29.10 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010174;PARAFUSO DA COROA TITANIUM KH1; 28.94 ;;;
Sensor de fluxo;VISUM;-;Peças de reposição;6010165;ANTENA RF G906 2.4GHZ 5DBI - AND GLOBAL; 54.57 ;;;
Sensor de fluxo;VISUM;-;Peças de reposição;2010105;MANGOTE VISUM ADUBO; 9.33 ;;;
Sensor de fluxo;VISUM;-;Peças de reposição;2010250;ACOPLAMENTO SUPERIOR VISUM GRAOS FINOS BEGEBOR 145; 8.05 ;;;
Sensor de fluxo;VISUM;-;Peças de reposição;2010495;ACOPLAMENTO SUPERIOR VISUM ADUBO JD; 25.52 ;;;
Sensor de fluxo;VISUM;-;Peças de reposição;2010337;"ACOPLAMENTO VISUM  RIGIDO Ø1 1/2"""; 37.17 ;;;
Sensor de fluxo;VISUM;-;Peças de reposição;2010106;CAPA DE ISOLACAO VISUM ADUBO AMARELA PANTONE 123 C; 19.13 ;;;
Dosadores;TITANIUM;TITANIUM;Produto;1030001;CONJUNTO TITANIUM COM KIT MONTAGEM CAIXA DE SEMENTE; 1,419.07 ;;;
Dosadores;TITANIUM;TITANIUM;Acessório;1060002;CONJUNTO DISCOS/ANEIS MILHO TITANIUM; 52.83 ;;;
